"Веса (events, search, view, click, cart)",STD (Меньше = Лучше),n_cart Change %,reached_cart Change %
"1, 3, 1, 1, 2",0.008176561869154273,-22.591386766884764,-1.3648283955498304
"1, 2, 1, 1, 3",0.008230074867575866,-22.649491422892474,-1.3652874025641208
"2, 2, 2, 3, 3",0.008300225475422928,-22.355101934245454,-1.364986279305692
"3, 1, 3, 2, 2",0.008402452736021755,-22.154454214536827,-1.365106180531177
"2, 1, 1, 2, 2",0.008430685339769713,-22.38053588036143,-1.3651967915476488
"1, 2, 1, 2, 2",0.008451084799016673,-22.50480345325139,-1.3650915353456088
"3, 2, 3, 1, 3",0.008464299674254678,-22.252521149421085,-1.3651441634263568
"3, 2, 1, 2, 3",0.00852757760677996,-22.46845978023366,-1.3652347744079407
"2, 1, 2, 3, 2",0.008536343507490742,-22.231719560598254,-1.3652494197094718
"1, 3, 3, 2, 1",0.008567731419851642,-22.122968381316934,-1.3650681976067254
"3, 2, 1, 1, 1",0.00857210377813287,-22.32926936358515,-1.365000924398913
"2, 3, 1, 1, 2",0.008613977142173221,-22.493330729505406,-1.3649336513465362
"2, 3, 3, 3, 3",0.008617038611401956,-22.28296585146459,-1.3649336513465362
"2, 2, 3, 3, 1",0.008620576149842725,-22.100876564930658,-1.3648956684287854
"3, 3, 1, 3, 3",0.008630862645225456,-22.50177541254958,-1.3650389073053915
"3, 1, 2, 3, 3",0.008631308784284999,-22.302992494150313,-1.3651967915476488
"2, 2, 1, 2, 1",0.008641602194033909,-22.34714145183538,-1.365106180531177
"2, 2, 2, 1, 2",0.008658021008528147,-22.288870675186416,-1.3650915353456088
"2, 3, 3, 1, 1",0.008658707058932439,-22.15114121821052,-1.3648050575518922
"1, 2, 3, 1, 3",0.008685347052038791,-22.23067829259407,-1.3648283955498304
"3, 3, 1, 1, 1",0.00869000550748756,-22.37938036181681,-1.364986279305692
"2, 3, 3, 1, 2",0.008692432487438298,-22.224675981915958,-1.3651967915476488
"2, 3, 3, 2, 1",0.008696531518830522,-22.14894300506776,-1.3648956684287854
"1, 2, 3, 2, 3",0.008700126694045749,-22.23421642163772,-1.3650389073053915
"1, 2, 1, 3, 2",0.008714022601258087,-22.493867301010784,-1.3649336513465362
"2, 1, 1, 3, 3",0.008727419318574544,-22.465510507751098,-1.3652874025641208
"1, 2, 1, 1, 2",0.0087307041175181,-22.513692413870814,-1.3651967915476488
"1, 2, 1, 2, 1",0.008732694964657103,-22.37823958068047,-1.365106180531177
"2, 1, 3, 1, 2",0.008733151095664264,-22.13126043383976,-1.365015569514692
"2, 2, 3, 3, 3",0.00873429499914286,-22.24633395590408,-1.3652494197094718
"2, 2, 1, 3, 1",0.008749300073075702,-22.341330984243744,-1.3648430405045309
"3, 3, 3, 2, 1",0.00875252700442315,-22.171166336402777,-1.3650389073053915
